iter	Passed	Remaining
675	7197	3449
676	7206	3438
677	7214	3426
678	7222	3414
679	7230	3402
680	7237	3390
681	7245	3378
682	7252	3365
683	7259	3354
684	7267	3341
685	7276	3330
686	7283	3318
687	7291	3306
688	7299	3294
689	7306	3282
690	7315	3271
691	7322	3259
692	7329	3246
693	7339	3235
694	7348	3224
695	7356	3213
696	7364	3201
697	7372	3189
698	7379	3177
699	7387	3166
700	7396	3154
701	7403	3142
702	7412	3131
703	7420	3120
704	7428	3108
705	7437	3097
706	7447	3086
707	7455	3074
708	7463	3063
709	7471	3051
710	7478	3039
711	7487	3028
712	7495	3016
713	7502	3005
714	7510	2993
715	7518	2982
716	7525	2970
717	7534	2959
718	7541	2947
719	7551	2936
720	7561	2925
721	7572	2915
722	7581	2904
723	7589	2893
724	7597	2881
725	7606	2870
726	7614	2859
727	7622	2847
728	7629	2836
729	7637	2824
730	7645	2813
731	7654	2802
732	7663	2791
733	7672	2780
734	7681	2769
735	7693	2759
736	7701	2748
737	7710	2737
738	7719	2726
739	7730	2716
740	7739	2705
741	7750	2695
742	7760	2684
743	7770	2673
744	7780	2663
745	7789	2652
746	7799	2641
747	7810	2631
748	7818	2620
749	7828	2609
750	7835	2597
751	7843	2586
752	7851	2575
753	7862	2565
754	7869	2553
755	7878	2542
756	7887	2531
757	7894	2520
758	7903	2509
759	7910	2498
760	7918	2486
761	7927	2476
762	7935	2464
763	7945	2454
764	7953	2443
765	7962	2432
766	7972	2421
767	7982	2411
768	7992	2400
769	8009	2392
770	8016	2381
771	8025	2370
772	8032	2358
773	8040	2347
774	8048	2336
775	8056	2325
776	8064	2314
777	8072	2303
778	8080	2292
779	8089	2281
780	8097	2270
781	8105	2259
782	8112	2248
783	8120	2237
784	8128	2226
785	8138	2215
786	8148	2205
787	8159	2195
788	8167	2184
789	8175	2173
790	8183	2162
791	8190	2150
792	8197	2139
793	8204	2128
794	8211	2117
795	8219	2106
796	8227	2095
797	8235	2084
798	8242	2073
799	8250	2062
800	8257	2051
801	8265	2040
802	8275	2030
803	8282	2019
804	8291	2008
805	8298	1997
806	8305	1986
807	8312	1975
808	8320	1964
809	8327	1953
810	8335	1942
811	8342	1931
812	8350	1920
813	8357	1909
814	8367	1899
815	8378	1889
816	8386	1878
817	8394	1867
818	8401	1856
819	8408	1845
820	8418	1835
821	8427	1824
822	8434	1814
823	8442	1803
824	8450	1792
825	8462	1782
826	8473	1772
827	8483	1762
828	8493	1751
829	8502	1741
830	8511	1731
831	8520	1720
832	8529	1709
833	8538	1699
834	8546	1688
835	8557	1678
836	8566	1668
837	8573	1657
838	8582	1646
839	8589	1636
840	8600	1625
841	8609	1615
842	8616	1604
843	8625	1594
844	8632	1583
845	8640	1572
846	8648	1562
847	8656	1551
848	8666	1541
849	8674	1530
850	8682	1520
851	8690	1509
852	8699	1499
853	8707	1488
854	8714	1477
855	8723	1467
856	8730	1456
857	8739	1446
858	8746	1435
859	8755	1425
860	8763	1414
861	8771	1404
862	8783	1394
863	8793	1384
864	8802	1373
