iter	Passed	Remaining
717	6854	2692
718	6863	2682
719	6871	2672
720	6878	2661
721	6885	2651
722	6893	2641
723	6902	2631
724	6910	2621
725	6917	2610
726	6924	2600
727	6933	2590
728	6940	2580
729	6949	2570
730	6956	2559
731	6966	2550
732	6974	2540
733	6984	2531
734	6994	2521
735	7006	2513
736	7017	2504
737	7039	2499
738	7050	2489
739	7059	2480
740	7069	2471
741	7077	2460
742	7084	2450
743	7091	2440
744	7099	2429
745	7110	2420
746	7117	2410
747	7125	2400
748	7132	2390
749	7139	2379
750	7147	2369
751	7155	2359
752	7165	2350
753	7174	2340
754	7183	2331
755	7192	2321
756	7201	2311
757	7212	2302
758	7222	2293
759	7231	2283
760	7239	2273
761	7249	2264
762	7256	2253
763	7264	2244
764	7273	2234
765	7281	2224
766	7288	2214
767	7296	2204
768	7304	2194
769	7314	2184
770	7324	2175
771	7334	2166
772	7345	2156
773	7356	2148
774	7364	2138
775	7373	2128
776	7382	2118
777	7390	2108
778	7398	2098
779	7405	2088
780	7413	2078
781	7421	2068
782	7429	2058
783	7437	2049
784	7444	2039
785	7454	2029
786	7464	2020
787	7472	2010
788	7480	2000
789	7489	1990
790	7496	1980
791	7504	1970
792	7512	1961
793	7519	1950
794	7528	1941
795	7535	1931
796	7543	1921
797	7551	1911
798	7558	1901
799	7565	1891
800	7574	1881
801	7582	1872
802	7592	1862
803	7600	1852
804	7607	1842
805	7614	1832
806	7623	1823
807	7630	1813
808	7638	1803
809	7645	1793
810	7653	1783
811	7660	1773
812	7669	1764
813	7678	1754
814	7686	1744
815	7693	1734
816	7700	1724
817	7707	1714
818	7715	1705
819	7723	1695
820	7730	1685
821	7737	1675
822	7744	1665
823	7750	1655
824	7757	1645
825	7763	1635
826	7769	1625
827	7776	1615
828	7783	1605
829	7789	1595
830	7796	1585
831	7803	1575
832	7808	1565
833	7816	1555
834	7823	1545
835	7829	1535
836	7835	1525
837	7841	1515
838	7849	1506
839	7856	1496
840	7865	1487
841	7872	1477
842	7878	1467
843	7884	1457
844	7891	1447
845	7898	1437
846	7904	1427
847	7911	1418
848	7917	1408
849	7924	1398
850	7930	1388
851	7936	1378
852	7943	1368
853	7950	1359
854	7956	1349
855	7963	1339
856	7970	1329
857	7977	1320
858	7983	1310
859	7990	1300
860	7998	1291
861	8005	1281
862	8011	1271
863	8017	1262
864	8024	1252
865	8031	1242
866	8038	1233
867	8045	1223
868	8053	1213
869	8060	1204
870	8066	1194
871	8073	1185
872	8079	1175
873	8086	1165
874	8093	1156
875	8099	1146
876	8106	1136
877	8113	1127
878	8121	1117
879	8127	1108
880	8136	1099
881	8143	1089
882	8150	1079
883	8156	1070
884	8163	1060
885	8170	1051
886	8176	1041
887	8182	1032
888	8189	1022
889	8196	1013
890	8203	1003
891	8211	994
892	8217	984
893	8224	975
894	8232	965
895	8239	956
896	8246	946
897	8254	937
898	8261	928
899	8268	918
900	8281	909
901	8288	900
902	8297	891
903	8304	881
904	8312	872
905	8320	863
906	8326	853
907	8333	844
908	8341	835
909	8347	825
910	8355	816
911	8362	806
912	8369	797
913	8375	788
914	8383	778
915	8391	769
916	8400	760
917	8408	751
918	8418	742
919	8425	732
920	8431	723
921	8441	714
922	8448	704
923	8457	695
924	8465	686
925	8471	676
926	8478	667
927	8485	658
928	8493	649
929	8502	639
930	8510	630
931	8518	621
932	8525	612
933	8533	603
934	8541	593
935	8548	584
936	8555	575
937	8564	566
938	8571	556
939	8578	547
940	8586	538
941	8592	529
942	8599	519
943	8606	510
944	8613	501
945	8620	492
946	8627	482
947	8635	473
948	8646	464
949	8653	455
950	8659	446
951	8667	437
952	8674	427
953	8681	418
954	8688	409
955	8695	400
956	8703	391
957	8710	381
958	8716	372
959	8724	363
960	8731	354
961	8738	345
962	8745	336
963	8753	326
964	8759	317
965	8766	308
966	8773	299
967	8780	290
968	8787	281
969	8793	271
970	8801	262
971	8807	253
972	8814	244
973	8821	235
974	8829	226
975	8835	217
976	8842	208
977	8850	199
978	8857	189
979	8864	180
980	8872	171
981	8879	162
982	8890	153
983	8904	144
984	8916	135
985	8926	126
986	8933	117
987	8939	108
988	8947	99
989	8955	90
990	8963	81
991	8971	72
992	8977	63
993	8984	54
994	8992	45
995	9002	36
996	9009	27
997	9017	18
998	9024	9
999	9034	0
